current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
0,24,7,1,2,2,1,8,2,1,2,1,0,1,1,0,0,1,35,41,1
0,46,5,1,1,2,0,6,1,0,2,0,0,0,1,0,0,1,33,41,1
1,23,6,2,2,2,0,6,2,2,2,0,0,0,0,0,0,0,43,37,0
0,2,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,23,1
0,16,7,1,2,2,0,7,1,2,2,0,0,0,0,0,0,0,29,32,0
0,36,8,2,1,2,0,6,2,2,2,1,1,0,0,2,2,0,27,37,1
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,20,1
1,23,6,2,2,2,0,7,1,2,2,0,0,0,1,0,0,1,42,22,0
0,24,7,1,2,2,1,7,2,2,2,1,0,0,0,0,0,0,31,38,0
1,31,4,2,2,2,1,6,2,1,2,1,0,0,4,0,0,3,40,38,0
1,49,5,1,0,1,0,2,0,1,2,0,0,0,0,0,2,0,28,29,1
0,54,4,0,2,2,0,3,0,1,1,0,0,0,0,2,2,0,45,30,0
1,27,5,1,2,2,1,8,1,1,2,1,0,0,1,0,0,1,47,30,0
1,19,8,1,1,2,1,7,2,2,1,1,0,0,0,0,0,0,35,37,0
0,22,7,1,1,2,1,7,1,1,2,1,0,0,0,0,0,0,34,30,0
1,7,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,35,29,0
1,23,7,1,2,2,1,7,1,2,2,1,1,0,1,0,0,1,34,44,1
0,144,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,8,32,1
0,10,6,2,2,2,1,7,2,2,2,1,0,0,1,0,0,0,42,38,1
1,11,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,42,32,0
0,32,6,2,1,2,0,5,2,1,2,1,0,0,0,2,2,0,33,44,1
1,11,6,2,2,2,1,7,2,2,2,1,0,1,1,0,0,0,41,30,0
1,17,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,32,41,0
1,35,4,1,1,2,0,6,1,1,2,0,0,0,1,0,0,1,29,29,1
0,62,4,0,2,1,1,5,0,0,1,1,0,0,1,1,1,1,49,35,0
1,5,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,33,25,0
0,76,5,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,25,20,0
1,29,7,2,1,2,1,6,2,1,2,1,1,0,0,0,0,0,37,33,1
0,38,6,0,1,2,1,7,0,2,1,1,0,1,2,1,1,1,35,37,0
1,17,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,38,36,0
0,60,5,2,0,2,0,7,0,1,2,1,0,0,1,0,0,1,37,39,1
1,19,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,47,34,0
0,22,7,2,0,2,1,7,1,1,2,1,0,1,0,2,1,0,30,29,0
0,60,6,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,17,32,0
0,24,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,31,31,0
1,7,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,38,32,1
1,33,8,1,2,2,1,6,1,2,2,1,0,0,0,1,1,0,37,39,1
0,22,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,43,41,1
1,13,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,42,32,1
1,59,5,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,32,24,1
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,32,1
1,19,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,38,38,0
0,62,4,0,1,0,1,6,1,0,0,1,0,0,1,1,1,1,36,32,1
0,44,6,1,2,2,1,6,2,1,2,1,0,0,0,0,0,0,44,45,0
1,13,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,38,0
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,29,26,1
0,24,8,2,1,2,1,8,2,1,2,1,0,0,0,0,0,0,42,42,0
0,34,6,1,1,2,1,7,1,1,2,1,0,1,1,0,0,1,46,44,1
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,20,1
0,48,4,1,1,2,1,7,0,2,1,1,0,0,1,0,0,1,42,44,1
0,30,7,0,0,2,0,7,0,0,2,0,1,1,3,1,1,2,29,29,1
1,45,6,2,0,2,0,6,0,1,2,0,0,0,1,1,1,1,32,30,1
1,51,7,1,0,1,1,8,0,0,1,1,0,1,0,0,0,0,29,34,1
1,69,3,0,0,0,0,4,0,0,0,0,1,0,3,0,0,2,12,7,1
1,89,1,0,0,0,0,4,1,0,1,0,0,0,1,0,0,1,5,27,1
1,21,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,42,40,0
0,48,4,0,0,2,1,6,0,1,2,1,0,0,1,0,0,1,48,46,0
0,6,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,33,36,1
